# The five cables between the processor and the bus interface, pin by pin,
# read off MIT's wire lists: cadrwd/cadr4.wlr and icmem3.wlr on one side and
# cadr1/busint.wlr on the other. Which connector meets which header --- 1A-J1
# to J11, 1B-J1 to J12, 1C-J1 to J9, 3A-J1 to J7, and the ICMEM board's 1A-J1
# to J8 --- is the pairing the boards were cabled with; a pairing wrong
# anywhere would put a cable's wires on the wrong nets, which no chip run
# would survive. Each line: the processor
# connector and pin, the bus interface header and pin, then on each side
# the wire's name and one part pin on it --- page, reference, pin --- to
# find the net by; `-` where the wire touches no part on that board.
# src/cable.rs joins the two boards by it; nothing regenerates it from
# the lists or checks it against them.
#
# cpu-conn pin busint-conn pin | cpu wire | cpu anchor | busint wire | busint anchor
1CJ1 16 J09 16 | -VMA0 | VMEMDR 1E17 7 | -ADR0 | LMADR 0A25 17
1CJ1 17 J09 17 | -MEMRQ | VCTL2 1D26 8 | -MEMRQ | REQLM 0B17 8
1CJ1 18 J09 18 | -MEMACK | VCTL1 1D28 13 | -LM ACK | REQLM 0B11 6
1CJ1 19 J09 19 | -LOADMD | MD 1D18 9 | -LOADMD | REQLM 0C10 8
1CJ1 20 J09 20 | -IGNPAR | MD 1E07 10 | -LM IGNPAR | REQLM 0B12 1
3AJ1  1 J07  1 | SPY0 | SPY2 3A27 3 | SPY0 | DIAG 0A20 12
3AJ1  2 J07  2 | SPY1 | SPY2 1F13 5 | SPY1 | DIAG 0A20 13
3AJ1  3 J07  3 | SPY2 | SPY2 1F13 7 | SPY2 | DIAG 0A20 14
3AJ1  4 J07  4 | SPY3 | SPY2 1F13 9 | SPY3 | DIAG 0A20 15
3AJ1  5 J07  5 | SPY4 | SPY2 1F13 12 | SPY4 | DIAG 0A20 16
3AJ1  6 J07  6 | SPY5 | SPY2 1F13 14 | SPY5 | DIAG 0A20 17
3AJ1  7 J07  7 | SPY6 | SPY2 1F13 16 | SPY6 | DIAG 0A20 18
3AJ1  8 J07  8 | SPY7 | SPY2 1F13 18 | SPY7 | DIAG 0A20 19
3AJ1  9 J07  9 | SPY8 | SPY2 1F11 3 | SPY8 | DIAG 0A21 12
3AJ1 10 J07 10 | SPY9 | SPY2 1F11 5 | SPY9 | DIAG 0A21 13
3AJ1 11 J07 11 | SPY10 | SPY2 1F11 7 | SPY10 | DIAG 0A21 14
3AJ1 12 J07 12 | SPY11 | SPY2 1F11 9 | SPY11 | DIAG 0A21 15
3AJ1 13 J07 13 | SPY12 | SPY2 1F11 12 | SPY12 | DIAG 0A21 16
3AJ1 14 J07 14 | SPY13 | SPY2 1F11 14 | SPY13 | DIAG 0A21 17
3AJ1 15 J07 15 | SPY14 | SPY2 1F11 16 | SPY14 | DIAG 0A21 18
3AJ1 16 J07 16 | SPY15 | SPY2 1F11 18 | SPY15 | DIAG 0A21 19
3AJ1 17 J07 17 | -MEMGRANT | VCTL1 3F16 4 | -LM GRANT | REQLM 0B12 4
3AJ1 18 J07 18 | WRCYC | VCTL1 1C23 7 | WRCYC | DATCTL 0C08 1
3AJ1 19 J07 19 | INT | LCC 3E12 5 | LM INT | UBINTC 0E04 8
3AJ1 20 J07 20 | MEMPAR OUT | MDS 1B05 12 | MEMPAR FROM LM | REQERR 0C06 3
1AJ1  2 J08  2 | MCLK7 | CLOCK2 1C01 4 | -MCLK7 | CLM 0B07 11
1AJ1  5 J08  5 | EADR0 | SPY0 1F03 1 | SPY ADR 1 | DBGOUT 0A17 12
1AJ1  6 J08  6 | EADR1 | SPY0 1F03 2 | SPY ADR 2 | DBGOUT 0A17 14
1AJ1  7 J08  7 | EADR2 | SPY0 1F03 3 | SPY ADR 3 | DBGOUT 0A17 16
1AJ1  8 J08  8 | EADR3 | SPY0 1F02 6 | SPY ADR 4 | DBGOUT 0A17 18
1AJ1  9 J08  9 | -DBREAD | SPY0 1F02 4 | -SPY READ | DIAG 0A11 8
1AJ1 10 J08 10 | -DBWRITE | SPY0 1F03 4 | -SPY WRITE | DIAG 0A14 6
1AJ1 11 J08 11 | -BUSINT.LM.RESET | OLORD2 1B10 13 | -BUSINT LM RESET | DBGIN 0C04 8
1AJ1 12 J08 12 | -BOOT1 | OLORD2 1A19 14 | -LM BOOT | -
1AJ1 13 J08 13 | -BUS.RESET | OLORD2 1A07 10 | -LM UNIBUS RESET | DBGIN 0A14 10
1AJ1 14 J08 14 | LM DRIVE ENB | VCTL2 1E06 5 | LM MEMDRIVE ENB | REQLM 0B13 12
1AJ1 15 J08 15 | -BUS.POWER.RESET | OLORD2 1A06 11 | -LM POWER RESET | XA 0B13 1
